HE (EST),kWH
2017-05-05 15:15:00,2216.16
2017-05-05 15:30:00,2186.76
2017-05-05 15:45:00,2174.28
2017-05-05 16:00:00,2182.44
2017-05-05 16:15:00,2184.12
2017-05-05 16:30:00,2175.36
2017-05-05 16:45:00,2174.76
2017-05-05 17:00:00,2177.28
2017-05-05 17:15:00,2171.4
2017-05-05 17:30:00,2190.84
2017-05-05 17:45:00,2202.24
2017-05-05 18:00:00,2205.24
2017-05-05 18:15:00,2204.52
2017-05-05 18:30:00,2201.4
2017-05-05 18:45:00,2210.16
2017-05-05 19:00:00,2210.04
2017-05-05 19:15:00,2206.44
2017-05-05 19:30:00,2142.12
2017-05-05 19:45:00,2124.6
2017-05-05 20:00:00,2095.8
2017-05-05 20:15:00,2103.72
2017-05-05 20:30:00,2098.8
2017-05-05 20:45:00,2101.2
2017-05-05 21:00:00,2113.68
2017-05-05 21:15:00,2111.04
2017-05-05 21:30:00,2113.32
2017-05-05 21:45:00,2123.16
2017-05-05 22:00:00,2133.6
2017-05-05 22:15:00,2160.0
2017-05-05 22:30:00,2157.36
2017-05-05 22:45:00,2156.88
2017-05-05 23:00:00,2172.72
2017-05-05 23:15:00,2182.32
2017-05-05 23:30:00,2198.88
2017-05-05 23:45:00,2176.92
2017-05-06 00:00:00,2185.32
2017-05-06 00:15:00,2190.36
2017-05-06 00:30:00,2195.52
2017-05-06 00:45:00,2205.48
2017-05-06 01:00:00,2202.96
2017-05-06 01:15:00,2215.44
2017-05-06 01:30:00,2249.64
2017-05-06 01:45:00,2259.48
2017-05-06 02:00:00,2249.88
2017-05-06 02:15:00,2249.64
2017-05-06 02:30:00,2257.08
2017-05-06 02:45:00,2250.84
2017-05-06 03:00:00,2202.84
2017-05-06 03:15:00,2127.12
2017-05-06 03:30:00,2093.28
2017-05-06 03:45:00,2079.12
2017-05-06 04:00:00,2055.12
2017-05-06 04:15:00,2071.8
2017-05-06 04:30:00,2081.4
2017-05-06 04:45:00,2069.04
2017-05-06 05:00:00,2070.0
2017-05-06 05:15:00,2074.2
2017-05-06 05:30:00,2079.72
2017-05-06 05:45:00,2093.64
2017-05-06 06:00:00,2103.12
2017-05-06 06:15:00,2111.16
2017-05-06 06:30:00,2131.2
2017-05-06 06:45:00,2139.12
2017-05-06 07:00:00,2126.88
2017-05-06 07:15:00,2118.96
2017-05-06 07:30:00,2120.4
2017-05-06 07:45:00,2115.84
2017-05-06 08:00:00,2109.6
2017-05-06 08:15:00,2112.36
2017-05-06 08:30:00,2113.44
2017-05-06 08:45:00,2131.2
2017-05-06 09:00:00,2146.68
2017-05-06 09:15:00,2131.32
2017-05-06 09:30:00,2114.52
2017-05-06 09:45:00,2117.88
2017-05-06 10:00:00,2115.96
2017-05-06 10:15:00,2118.0
2017-05-06 10:30:00,2114.64
2017-05-06 10:45:00,2111.04
2017-05-06 11:00:00,2114.4
2017-05-06 11:15:00,2102.04
2017-05-06 11:30:00,2111.28
2017-05-06 11:45:00,2110.2
2017-05-06 12:00:00,2114.04
2017-05-06 12:15:00,2149.68
2017-05-06 12:30:00,2137.08
2017-05-06 12:45:00,2124.24
2017-05-06 13:00:00,2134.92
2017-05-06 13:15:00,2131.68
2017-05-06 13:30:00,2130.6
2017-05-06 13:45:00,2135.52
2017-05-06 14:00:00,2144.16
2017-05-06 14:15:00,2136.48
2017-05-06 14:30:00,2117.16
2017-05-06 14:45:00,2129.28
2017-05-06 15:00:00,2131.32
2017-05-06 15:15:00,2124.0
2017-05-06 15:30:00,2125.92
2017-05-06 15:45:00,2126.28
2017-05-06 16:00:00,2130.84
2017-05-06 16:15:00,2111.28
2017-05-06 16:30:00,2101.68
2017-05-06 16:45:00,2124.72
2017-05-06 17:00:00,2138.4
2017-05-06 17:15:00,2132.76
2017-05-06 17:30:00,2149.08
2017-05-06 17:45:00,2133.24
2017-05-06 18:00:00,2139.6
2017-05-06 18:15:00,2135.28
2017-05-06 18:30:00,2145.96
2017-05-06 18:45:00,2152.8
2017-05-06 19:00:00,2153.16
2017-05-06 19:15:00,2157.0
2017-05-06 19:30:00,2177.88
2017-05-06 19:45:00,2170.44
2017-05-06 20:00:00,2162.64
2017-05-06 20:15:00,2172.84
2017-05-06 20:30:00,2179.92
2017-05-06 20:45:00,2186.76
2017-05-06 21:00:00,2180.16
2017-05-06 21:15:00,2170.44
2017-05-06 21:30:00,2167.32
2017-05-06 21:45:00,2160.0
2017-05-06 22:00:00,2156.4
2017-05-06 22:15:00,2039.16
2017-05-06 22:30:00,1948.44
2017-05-06 22:45:00,1934.52
2017-05-06 23:00:00,1934.64
2017-05-06 23:15:00,1919.16
2017-05-06 23:30:00,1922.04
2017-05-06 23:45:00,1925.52
2017-05-07 00:00:00,1918.44
2017-05-07 00:15:00,1934.4
2017-05-07 00:30:00,1937.88
2017-05-07 00:45:00,1920.6
2017-05-07 01:00:00,1926.0
2017-05-07 01:15:00,1925.28
2017-05-07 01:30:00,1921.08
2017-05-07 01:45:00,1927.44
2017-05-07 02:00:00,1924.2
2017-05-07 02:15:00,1924.92
2017-05-07 02:30:00,1931.76
2017-05-07 02:45:00,1941.12
2017-05-07 03:00:00,1938.96
2017-05-07 03:15:00,1923.72
2017-05-07 03:30:00,1929.36
2017-05-07 03:45:00,1921.56
2017-05-07 04:00:00,1926.0
2017-05-07 04:15:00,1930.08
2017-05-07 04:30:00,1946.16
2017-05-07 04:45:00,1954.32
2017-05-07 05:00:00,1929.12
2017-05-07 05:15:00,1928.28
2017-05-07 05:30:00,1936.2
2017-05-07 05:45:00,1930.32
2017-05-07 06:00:00,1966.2
2017-05-07 06:15:00,2001.96
2017-05-07 06:30:00,2000.52
2017-05-07 06:45:00,2046.72
2017-05-07 07:00:00,2034.24
2017-05-07 07:15:00,2008.8
2017-05-07 07:30:00,2019.72
2017-05-07 07:45:00,2030.4
2017-05-07 08:00:00,2020.56
2017-05-07 08:15:00,2013.36
2017-05-07 08:30:00,2000.28
2017-05-07 08:45:00,2001.0
2017-05-07 09:00:00,2003.88
2017-05-07 09:15:00,1998.48
2017-05-07 09:30:00,2023.8
2017-05-07 09:45:00,2020.44
2017-05-07 10:00:00,2006.64
2017-05-07 10:15:00,2022.0
2017-05-07 10:30:00,2010.36
2017-05-07 10:45:00,2005.32
2017-05-07 11:00:00,2012.76
2017-05-07 11:15:00,2002.44
2017-05-07 11:30:00,2004.24
2017-05-07 11:45:00,1994.52
2017-05-07 12:00:00,1984.68
2017-05-07 12:15:00,2003.04
2017-05-07 12:30:00,2006.4
2017-05-07 12:45:00,1986.36
2017-05-07 13:00:00,1985.88
2017-05-07 13:15:00,2014.08
2017-05-07 13:30:00,2253.12
2017-05-07 13:45:00,2265.6
2017-05-07 14:00:00,2226.0
2017-05-07 14:15:00,2264.52
2017-05-07 14:30:00,2280.24
2017-05-07 14:45:00,2264.28
2017-05-07 15:00:00,2290.8
2017-05-07 15:15:00,2314.8
2017-05-07 15:30:00,2293.56
2017-05-07 15:45:00,2272.56
2017-05-07 16:00:00,2234.4
2017-05-07 16:15:00,2245.8
2017-05-07 16:30:00,2264.4
2017-05-07 16:45:00,2255.64
2017-05-07 17:00:00,2262.0
2017-05-07 17:15:00,2275.68
2017-05-07 17:30:00,2280.12
2017-05-07 17:45:00,2297.64
2017-05-07 18:00:00,2299.08
2017-05-07 18:15:00,2292.12
2017-05-07 18:30:00,2295.48
2017-05-07 18:45:00,2309.16
2017-05-07 19:00:00,2304.6
2017-05-07 19:15:00,2296.2
2017-05-07 19:30:00,2299.32
2017-05-07 19:45:00,2310.12
2017-05-07 20:00:00,2323.32
2017-05-07 20:15:00,2325.12
2017-05-07 20:30:00,2319.0
2017-05-07 20:45:00,2315.04
2017-05-07 21:00:00,2324.76
2017-05-07 21:15:00,2301.84
2017-05-07 21:30:00,2310.12
2017-05-07 21:45:00,2316.12
2017-05-07 22:00:00,2341.68
2017-05-07 22:15:00,2338.08
2017-05-07 22:30:00,2309.64
2017-05-07 22:45:00,2313.0
2017-05-07 23:00:00,2297.04
2017-05-07 23:15:00,2281.08
2017-05-07 23:30:00,2294.16
2017-05-07 23:45:00,2299.32
2017-05-08 00:00:00,2299.68
2017-05-08 00:15:00,2316.96
2017-05-08 00:30:00,2338.8
2017-05-08 00:45:00,2349.72
2017-05-08 01:00:00,2369.4
2017-05-08 01:15:00,2377.8
2017-05-08 01:30:00,2383.68
2017-05-08 01:45:00,2389.08
2017-05-08 02:00:00,2385.72
2017-05-08 02:15:00,2392.08
2017-05-08 02:30:00,2397.72
2017-05-08 02:45:00,2389.44
2017-05-08 03:00:00,2396.64
2017-05-08 03:15:00,2398.8
2017-05-08 03:30:00,2399.04
2017-05-08 03:45:00,2391.48
2017-05-08 04:00:00,2388.12
2017-05-08 04:15:00,2395.08
2017-05-08 04:30:00,2394.12
2017-05-08 04:45:00,2396.4
2017-05-08 05:00:00,2383.32
2017-05-08 05:15:00,2409.0
2017-05-08 05:30:00,2415.84
2017-05-08 05:45:00,2407.44
2017-05-08 06:00:00,2414.76
2017-05-08 06:15:00,2418.84
2017-05-08 06:30:00,2416.08
2017-05-08 06:45:00,2395.68
2017-05-08 07:00:00,2388.12
2017-05-08 07:15:00,2394.72
2017-05-08 07:30:00,2372.16
2017-05-08 07:45:00,2368.8
